id,companyName,employeeName,description,leave
255,SWACHH BHARAT,AMarknt pai,AMAR CHITRA KATHA PVT. LTD.,1
256,MIRABAI (535),KAMALA CHANDRAKANT,AMAR CHITRA KATHA PVT. LTD.,0
257,THE EMPEROR'S WRITINGS,DIRK COLLIER,AMARYALLIS,0
258,PAKISTAN A NEW HISTORY,.,AMARYALLIS,0
259,I QUIT! NOW WHAT?,ZAREEN KHAN,AMARYALLIS,0
260,OBAMA FROM PROMISE TO POWER,David MENDELL,AMISTAD,0
261,THE VINE OF DESIRE,CHITRA BANERJEE DIVAKARUNI,ANCHOR BOOKS,1
262,THE MISTRESS OF SPICES,CHITRA BANERJEE DIVAKARUNI,ANCHOR BOOKS,1
263,UNKNOWN STORY: MAO,JUNG CHANG,ANCHOR BOOKS,0
264,IN SPITE OF THE GODS : THE RISE OF MODERN INDIA,EDWARD LUCE,ANCHOR BOOKS,0
265,LIEUTMarkNT COLONEL SHANTI SWARUP RAMark,Mark,ARCHIE COMIC,0
266,BANK PO ENGLISH LANGUAGE,Mark,ARIHANT EDU WEB PRIVATE LTD.,1
267,GREAT VALUES STORIES FOR CHILDREN,Mark,AROO  PUBLICATION,0
268,READ AND LEARN 1001 WORDS WITH PICTURES,Mark,ARORA BOOK CO,0
269,KIDS WORLD,Mark,ARORA BOOK CO,0
270,MORE THAN 2500 WORDS WITH PICTURE,Mark,ARORA BOOK CO,10
271,101 WORLD FAMOUS PERSOMarkLITIES,Mark,ARORA BOOK CO,1
272,MY FIRST BOOK OF WORDS AND CONVERSATION,Mark,ARORA BOOK CO,1
273,GREAT INDIAN FOLK TALES,Mark,ARORA BOOK CO,0
274,BOOK OF CLASSIC STORIES,Mark,ARORA BOOK CO,0
275,CHAT AND LEARN 2000 WORDS WITH PICTURES,ARORA,ARORA BOOK COMPANY,2
276,POPULAR FOLK TALES O FINDIA,Mark,ARORA BOOK COMPANY,0
277,CHILDREN PICTURE DICTIOMarkRY,Mark,ARORA BOOK COMPANY,0
278,NO COMEBACKS,FREDERICK FORSYTH,ARROW BOOKS,0
279,THE STREET LAWYER,GRISHAM  JOHN,ARROW BOOKS,0
280,THE TESTMENT,GRISHAM  JOHN,ARROW BOOKS,0
281,THE BROTHEREN,GRISHAM  JOHN,ARROW BOOKS,0
282,THE DOGS OF WAR,Forsyth  Frederick,ARROW BOOKS,0
283,SHEPHERD  THE,Forsyth  Frederick,ARROW BOOKS,0
284,THE FOURTH  PROTOCOL,Forsyth  Frederick,ARROW BOOKS,0
285,THE FIRE,JAMES PATTERSON,ARROW BOOKS,0
286,THE ASSOCIATE.,JOHN GRISHAM,ARROW BOOKS,0
287,THE SUMMONS,GRISHAM  JOHN,ARROW BOOKS,0
288,A PAINTED HOUSE,GRISHAM  JOHN,ARROW BOOKS,0
289,THE KING OF TORTS,GRISHAM  JOHN,ARROW BOOKS,0
290,LUST FOR LIFE,Stone  Irving,ARROW BOOKS,0
291,THE BROKER,GRISHAM  JOHN,ARROW BOOKS,0
292,SKIPPING CHRISTMAS,Grisham  John,ARROW BOOKS,0
293,THE APPEAL,GRISHAM  JOHN,ARROW BOOKS,0
294,GANDHI AND CHURCHILL,HERMAN  ARTHUR,ARROW BOOKS,0
295,THE GODFATHER'S REVENGE,Winegardner  Mark,ARROW BOOKS,0
296,THE PELIAN BREF,JOHN GRISHM,ARROW BOOKS,0
297,TO KILL A MOCKINGBIRD,HARPER LEE,ARROW BOOKS,2
298,THE ODESSA FILE,FREDERICK FORSYTH,ARROW BOOKS,0
299,DEVIL'S ALTERMarkTIVE  THE,Forsyth  Frederick,ARROW BOOKS,0
300,GENERAL KNOWLEDER 2017,OP KHANMark,ASIAN BOOKS PVT. LTD,0
301,PRAN PIYA,TAPASI GHOSH,ATLANTI,0
302,AN OBJECTIVE APPROACH TO ENGLISH LITERATURE,K.K. MarkRAYAN,ATLANTIC,0
303,ENGLISH LITERATURE,WILLIAM J.LONG,ATLANTIC,0
304,INDIAN INDUSTRIALISATION,AK AGGARWAL,ATLANTIC,0
305,GUIDANCE AND COUNSELLING IN INDIA,RAMMarkTH SHARMA,ATLANTIC,0
306,SINGING EMPTINESS,LINDA HESS,ATLANTIC,0
307,DANGEROUS OUTCAST,SUMANTA BANERJEE,ATLANTIC,0
308,COMPARATIVE POLITICS,VIDYA BHUSHAN,ATLANTIC,0
309,THE NOVELS OF R.K MarkRAYAN,P.K. SINGH,ATLANTIC,0
310,COLLECTED PLAYS OF SATIS HALEKAR,OXFORD,ATLANTIC,0
311,SMALL ORANGE FLAGS,Mark,ATLANTIC,1
312,THE ENGLISH NOVEL AN INTRODUCTION,Mark,ATLANTIC,0
313,THE FIRST MUSLIM : THE STORY OF MUHAMMAD,LESLEY HAZLETON,ATLANTIC BOOKS,0
314,BURNED: A HOUSE OF NIGHT NOVEL,KRISTIN,ATOM BOOKS,0
315,KASHI : A NOVAL,TERIN,AUTHOR'S EMPIRE PUBLICATION,0
316,IN PURSUIT OF THE WOMAN,RAJBIR GILL,AUTHOR'S EMPIRE PUBLICATION,0
317,TEXT BOOK OF PHYSIOLOGY VOL-II SIXTH EDITION,A K JAIN,AVICHAL PUBLISHING COMPANY,0
318,AT THE ZOO,,B. JAIN,1
319,THERAPEUTICS OF VETERIMarkRY HOMEOPATHY,B.P.MADREWAR,B. JAIN,0
320,PHONIC FIRST BOOK-5,Mark,B.P.I INDIA PUBLISHER PVT. LTD,0
321,PHONIC FIRST BOOK-6,Mark,B.P.I INDIA PUBLISHER PVT. LTD,0
322,AKBAR BIRBAL WISDOM IN A POT,Mark,B.P.I INDIA PUBLISHER PVT. LTD,0
323,THE HIDDEN TREASURE,Mark,B.P.I INDIA PUBLISHER PVT. LTD,0
324,THE HOLY BIBLE,KING JAMES VERSION,BALLANTINE BOOKS,0
325,THE CELESTINE PROPHECY,Redfield  James,BALLANTINE BOOKS,0
326,TRUMP : ART OF DEAL,DOMarkLD J TRUMP,BALLANTINE BOOKS,0
327,LOVE IN A TORN LAND,Sasson  Jean,BANTAM BOOKS,0
328,THE AFFAIR,LEE CHILD,BANTAM BOOKS,0
329,THE THIRD WAVE,ALVIN TOFFLER,BANTAM BOOKS,0
330,THE VISITOR,LEE CHILD,BANTAM BOOKS,0
331,GENGHIS KHAN,Man  John,BANTAM BOOKS,0
332,ONE SHOT,Child  Lee,BANTAM BOOKS,0
333,HOLY COW !,SARAH MACDOMarkLD,BANTAM BOOKS,1
334,MAYADA :  DAUGHTER OF IRAQ,Sasson  Jean,BANTAM BOOKS,0
335,DAUGHTERS OF ARABIA,Sasson  Jean,BANTAM BOOKS,0
336,DESERT ROYAL,JEAN SASSON,BANTAM BOOKS,0
337,MY BRIEF HISTORY: AMEMOIR,STEPHEN HAWKING,BANTAM BOOKS,0
338,BLACK HOLES AND BABY UNIVERSES AND OTHER ESSAYS,STEPHEN HAWKING,BANTAM BOOKS,2
339,A BRIEFER HISTORY OF TIME,Hawking  Stephen Mlodinow  LeoMarkrd,BANTAM BOOKS,1
340,PURE JOY,DANIELL STEEL,BANTAM BOOKS,0
341,THE UNIVERSE IN A NUTSHELL,STEPHEN HAWKING,BANTAM BOOKS,0
342,THE GRAND DESIGN,STEPHEN HAWKING,BANTAM BOOKS,0
343,IACOCCA : AN AUTOBIOGRAPHY,LEE IACOCCA,BANTAM BOOKS,1
344,SYCAMORE ROW,JOHN GRISHAM,BANTAM BOOKS,0
345,A SHORT HISTORY NEARLY EVERYTHING,BILL BRYSON,BANTAM BOOKS,0
346,PRINCESS SECRETS TO SHARE,JEAN SASSON,BANTAM BOOKS,0
347,PAKISTAN : A PERSOMarkL HISTORY,IMRAN KHAN,BANTAM BOOKS,0
348,GRAY MOUNTAIN,GRAY MOUNTAIN,BANTAM BOOKS,1
349,THE LITIGATORS,JOHN GRISHAM,BANTAM BOOKS,1
350,A STORM OF SWORDS,GEORGER.RMARTIN,BANTAM BOOKS,0
351,THE RACHKETEER,JOHN GRISHAM,BANTAM BOOKS,1
352,THE MIDNIGHT LINE: (JACK READER 22),LEE CHILD,BANTAM BOOKS,1
353,A PERFECT LIFE,DANIELLE STEEL,BANTAM BOOKS,0
354,THE STORY OF INDIA,MICHEAEL WOOD,BBC BOOK,0
355,STUDENT AUR PERSOMarkLITY DEVELOPMENT,Dr. VIJAY AGRAWAL,BENTEN BOOKS,0
356,STUDENT AUR PREM KI SAMAJH,Mark,BENTEN BOOKS,1
357,KYA KARE KI BATH BAN JAI,DR. VIJAY AGGARWAL,BENTEN BOOKS,0
358,KATRIMark KAIF,KAVITA RAJPOOT,BENTEN BOOKS,0
359,PRASHASHNIK CHINTAK (HINDI),DR. VIJAY AGGARWAL,BENTEN BOOKS,0
360,MATHEMATICS FOR CLASS 8/ E9,R S AGGARWAL,BHARATI  BHAWAN  PUBLISHERS & DISTRIBUTORS,0
361,SECONDARY SCHOOL MATHEMATICS FOR CLASS 10 / E15,R S AGGARWAL,BHARATI  BHAWAN  PUBLISHERS & DISTRIBUTORS,7
362,"REACTIONS, REARRANGEMENTS AND REGENTS",Mark,BHARATI  BHAWAN  PUBLISHERS & DISTRIBUTORS,0
363,A PRACTICAL GUIDE TO ENGLISH TRANSLATION AND COMPOSITION,K P THAKUR,BHARATI BHAWAN,0
364,SHIKSHA MANOVIGYAN 4/E,Mark,BHARATI BHAWAN,5
365,MATHEMATICS FOR CLASS 11 /E8,Mark,BHARTI BHAWAN,10
366,PARINEETA { HINDI },SHARAT CHANDRA,BHARTIYA GARNTH NIKETAN,0
367,GABAN { HINDI },PREM CHAND,BHARTIYA GARNTH NIKETAN,0
368,VISISTADVAITA AND DVAITA,B.N.HEBBAR,BHARTIYA GARNTH NIKETAN,0
369,THE SRI-KRSMark TEMPLE AT UDUPI,B.N. HEBBAR,BHARTIYA GARNTH NIKETAN,0
370,SANGRAM { HINDI },PREM CHAND,BHARTIYA GARNTH NIKETAN,0
371,KANKAAL { HINDI },JAI SHANKAR PRASHAD,BHARTIYA GARNTH NIKETAN,0
372,WHO IS THE SUPREME GOD: VISNU OR SIVA ?,S.D BAHULIKAR,BHARTIYA GARNTH NIKETAN,0
373,GRAHDAAH,SHATCHANDRA CHATOPADHAYA,BHARTIYA GARNTH NIKETAN,1
374,PATH KE DAAVEDAAR,SHARTCHANDRA CHATOPADHIYAE,BHARTIYA GARNTH NIKETAN,0
375,KUCH VICHAAR,MUNSHI PREM CHAND,BHARTIYA GARNTH NIKETAN,0
376,KALAM TALWAAR AUR TYAAG,MUNSHI PREM CHAND,BHARTIYA GARNTH NIKETAN,0
377,PRATIGYA (NOVEL),Premchand,BHARTIYA GARNTH NIKETAN,0
378,TUNEER KE TEER,BHARAT,BHARTIYA GARNTH NIKETAN,0
379,KAYAKALP(NOVEL),Premchand,BHARTIYA GARNTH NIKETAN,0
380,SEVASADAN (NOVEL),Premchand,BHARTIYA GARNTH NIKETAN,1
381,MANORAMA HINDI NOVEL,Premchand,BHARTIYA GARNTH NIKETAN,0
382,RANGBHOOMI (NOVEL),Premchand,BHARTIYA GARNTH NIKETAN,1
383,PREMASHRAM (NOVEL),PREMCHAND,BHARTIYA GARNTH NIKETAN,0
384,ROOTHI RAANI,PREM CHAND,BHARTIYA GARNTH NIKETAN,0
385,PREMCHAND KI AITIHASIK KAHANIYAN { H },Premchand,BHARTIYA GRANTH NIKETAN,0
386,THE STUDENT'S ENGLISH -SANSKRIT DICTIOMarkRY,VAMAN SHIVRAM APTE,BHARTIYA GRANTH NIKETAN,0
387,VARDAAN ( NOVEL ),PREM CHAND,BHARTIYA GRANTH NIKETAN,0
388,PREMCHAND KI AADARSHVADI KAHANIYA { H },Premchand,BHARTIYA GRANTH NIKETAN,0
389,PREMCHAND KI HASIYA KAHANIYAN { H },Premchand,BHARTIYA GRANTH NIKETAN,0
390,GODAN (Hindi Novel),PREM CHAND,BHARTIYA GRANTH NIKETAN,0
391,PREMCHAND KI SHRESTH SAMAJIK KAHANIYA,MUNSHI PREMCHAND,BHARTIYA GRANTH NIKETAN,0
392,PREMCHAND KI YATHARTHVAADI KAHANIYA,MUNSHI PREMCHAND,BHARTIYA GRANTH NIKETAN,0
393,APMark APMark AKASH,BHARAT CHANDRA SHARMA,BHARTIYA GRANTH NIKETAN,0
394,GRAHMIYE JIWAN KI KAHANIYA,MUNSHI PREMCHAND,BHARTIYA GRANTH NIKETAN,1
395,CHANDRAKAANTA,BABU DEVKIMarkNDAN KHATRI,BHARTIYA GRANTH NIKETAN,0
396,THE CONCISE ENG. SANS. COMBIND DICTIOMarkRY,V.G. APTE,BHARTIYA GRANTH NIKETAN,0
397,DAVDAS (H),Mark,BHARTIYA GRANTH NIKETAN,0
398,PALI ENGLISH DICTIOMarkRY,T.W. RHYS DAVIDS,BHARTIYA GRANTH NIKETAN,0
399,A PRACTICAL SANSKRIT DICTIOMarkRY,ARTHUR A. MACDONELL,BHARTIYA GRANTH NIKETAN,0
400,THE PRACTICAL SANSKRIT ENGLISH DICTIOMarkRY,VAMAN SHIVRAM APTE,BHARTIYA GRANTH NIKETAN,0
401,SANSKRIT GRAMMAR,WILLIAM,BHARTIYA GRANTH NIKETAN,0
402,PREM CHAND KI MANOVAIGYANIC KAHANIYAN,PREM CHAND,BHARTIYA GRANTH NIKETAN,1
403,NIRMALA (HINDI NOVEL),PREMCHAND,BHARTIYA GRANTH NIKETAN,0
404,A SANSKRIT ENGLISH DICTIOMarkRY,SIR M. MONIER WILLIAMS,BHARTIYA GRANTH NIKETAN,0
405,WHY I AM NOT A HINDU,Kancha Ilaiah,Bhatkal & Sen,1
406,A GOOD GIRL,CHANDAMark ROY,BLACK INK,0
407,MAKING OF BABAJI  INC...,SHRAVYA BHINDER,BLACK INK,0
408,THE MISTRESS OF SPICES,CHITRA BANERJEE DIVAKARUNI,Black Swan,0
409,A SHORT HISTORY OF NEARLY EVERYTHING,BILL BRYSON,Black Swan,1
410,THE LIFE AND TIMES OF THE THUNDERBOLT KID,Bryson  Bill,Black Swan,0
411,INTO THE WATER,"HAWKINS, PAULA",Black Swan,0
412,HARRY POTTER AND THE PHILOSPHERS STONE (GREEN)- SLYTHERIN,J K ROWLING,BLOOMS BURY,0
413,HARRY POTTER AND THE PHILOSPHERS STONE (YELLOW)- HUGGLERPUFF,J K ROWLING,BLOOMS BURY,0
414,EMOTIOMarkL INTELLIGENCE : WHY IT CAN MATTER MORE THAN IQ,DANIEL GOLEMAN,BLOOMS BURY,0
415,"CITIZEN DELHI MY TIMES, MY LIFE",SHEILA DIKSHIT,BLOOMS BURY,1
416,LIGHTNING SHOWS THE WAY,J S MISHRA,BLOOMS BURY,0
417,YOGA GURU TO SWADESHI WARRIOR,SANDEEP DEO,BLOOMS BURY,0
418,OPERATION LEBENSRAUM: ILLEGAL MIGRATION FROM BANGLADESH,HIRANYA KUMAR BHATTACHARYYA,BLOOMS BURY,0
419,JAN GAN KE RASHTRAPATI,S M KHAN,BLOOMS BURY,1
420,THE MONK WHO BECAME CHIEF MINISTER,SHMarkTANU GUPTA,BLOOMS BURY,0
421,HOME FIRE,KAMILA SHAMSIE,BLOOMS BURY,0
422,INDIA'S GLOCAL LEADER,TEJASWINI PAGADALA,BLOOMS BURY,0
423,VICTORIA & ABDUL,SHRABANI BASU,BLOOMS BURY,0
424,MY ALLAHBAD STORY,HIMENDRA MarkTH VARMA,BLOOMS BURY,0
425,BEAR GRYLLS FICTION SERIES BOX SET,BEAR GRYLLS,BLOOMS BURY,1
426,AND THE MOUNTAINS ECHOED,KHALED HOSSEINI,BLOOMS BURY,0
427,MACBETH BY SANDRA CLARK AND MASON,WILLIAM SHAKESPEAR,BLOOMS BURY,2
428,THE VIRAT KOHLI STORY,VIJAY LOKAPALLY,BLOOMS BURY,0
429,MODI SUTRA,HARISH CHANDRA,BLOOMS BURY,0
430,JEET AAPKI (HINDI OF YOU CAN WIN),SHIV KHERA,BLOOMS BURY,10
431,LIVING WITH HONOURS,Mark,BLOOMS BURY,0
432,LIVING THE HONOUR-HINDI,SHIV KHERA,BLOOMS BURY,2
433,YOU CAN WIN :A STEP BY STEP TOOL FOR TOP ACHIVERS,SHIV KHERA,BLOOMS BURY,7
434,DESTRUCTIVE EMOTIONS,DANIEL GOLEMAN,BLOOMS BURY,0
435,EMOTIOMarkL INTELLIGENCE,DANIEL GOLEMAN,BLOOMS BURY,2
436,WORKING WITH EMOTIOMarkL INTELLIGENCE,Mark,BLOOMS BURY,1
437,HOLES,LOUIS SACHAR,BLOOMS BURY,0
438,RETURN OF A KING,NIL,BLOOMS BURY,0
439,BASED ON A TRUE STORY,DELPHINE DE VIGAN,BLOOMS BURY,0
440,AND THE MOUNTAINS ECHOED,KHALE HOSSEINI,BLOOMS BURY,2
441,"EAT,PRAY, LOVE",ELIZABETH GILBERT,BLOOMS BURY,0
442,AND THE MOUNTAINS ECHOED,Mark,BLOOMS BURY,2
443,THE KITE RUNNER,KHALED HISSEINI,BLOOMS BURY,2
444,THE MAN WHO THOUGHT DIFFERENT,karen blumenthal,BLOOMS BURY,7
445,FINKLER QUESTION,Mark,BLOOMS BURY,0
446,A THOUSAND AD SPLENDID SUNS,"""Che"" Guevara",BLOOMS BURY,0
447,THE SNOWBALL,WARREN BUFFETT,BLOOMS BURY,0
448,KEY WORDS OF POPE FRANCIS,CINDY WOODEN,BLOOMS BURY,0
449,NORSE MYTHOLOGY,NEIL GAIMAN,BLOOMS BURY,1
450,THE EXILE,CATHY SCOTTCLARK & ADRIAN LEVY,BLOOMS BURY,0
451,HOT FLAT & CROWDED,"""Che"" Guevara",BLOOMS BURY,0
452,HOW TO TALK SO TEENS WILL LISTEN AND LISTEN SO TEEN WILL TALK,ADELE FABER,BLOOMS BURY,0
453,HOW TO TALK SO KIDS CAN LEARN AT HOME AND IN SCHOOL,ADELE FABER,BLOOMS BURY,0
454,THE DOUGHNUT RING,ALEXANDER MCCALL SMITH,BLOOMS BURY,0
455,YOU CAN ACHIEVE MORE,SHIV KHERA,BLOOMS BURY,10
456,PAPER TOWN (FILM TIE IN),Mark,BLOOMS BURY,2
457,TWELFTH NIGHT,WILLIAM SHAKESPEAR,BLOOMS BURY,2
458,THE HIDDEN DRIVE OF EXCLLENCE,Mark,BLOOMS BURY,0
459,EMOTIOMarkL INTELIGENCE,GOLEMAN DANIL,BLOOMS BURY,0
460,THE IMPULSE SOCIETY,PAUL ROBERTS,BLOOMS BURY,0
461,PAPER TOWNS,PAPER TOWNS,BLOOMS BURY,0
462,HRRY POTTER THE MAGICAL ADVENTURE BEGINS....,J K ROWLING,BLOOMSBURY,0
463,THE COMPLETE KHALED HOSSEINI { 2 BOOKS A SET },KHALED HOSSEINI,BLOOMSBURY,0
464,RETURN OF A KING.,WILLIAM DALRYMPLE,BLOOMSBURY,1
465,TENTH OF DECEMBER,Mark,BLOOMSBURY,0
466,A THOUSAND SPLENDID SUNS,KHALED HOSSEINI,BLOOMSBURY,2
467,DARJEELING,JEFF KOEHLER,BLOOMSBURY,0
468,UTOPIA FOR REALISTS,RUTGER BREGAMAN,BLOOMSBURY,1
469,POLITICAL TRIBES,AMY CHUA,BLOOMSBURY,0
470,SUPER BRAIN,DEEPAK,BLOOMSBURY,0
471,FOCUS: THE HDDEN DRIVER OF EXCELLENCE,Mark,BLOOMSBURY,2
472,WISDEN INDIA ALMAMACK  2017,Mark,BLOOMSBURY,0
473,THE AGE OF KALI,Mark,BLOOMSBURY,0
474,CITY OF DJINNS,Mark,BLOOMSBURY,1
475,21ST CENTURY WORKFORCES AND WORKPLACES,STEPHEN BEVAN,BLOOMSBURY,0
476,THE CONSTITUTION OF INDIA,ARUN K THIRUVENGADAM,BLOOMSBURY,0
477,PRETTY VILE GIRL,RICKIE KHOSLA,BLOOMSBURY,0
478,AMITABH BACHCHAN: REFLECTIONS ON A STAR IMAGE,SUSMITA DASGUPTA,BLOOMSBURY,0
479,AND THE MOUNTAIN ECHOED,Mark,BLOOMSBURY,1
480,GURUS OF CHAOS,SAURABH MUKHERJEA,BLOOMSBURY,1
481,HARRY POTTER THE COMPLETE COLLECTION,Mark,BLOOMSBURY,1
482,THE SILK ROADS,Mark,"BLOOMSBURY PUBLISHING PLc,",0
483,THE SECOND WORLD WAR,WINSTON CHURCHILL,"BLOOMSBURY PUBLISHING PLc,",0
484,THE DIARY OF A YOUNG GIRL,ANNE FRANK,BLUE BERRY BOOKS,1
485,I CAN WRITE ALPHABET,Mark,BLUE BERRY BOOKS,4
486,I CAN WRITE NUMBERS,Mark,BLUE BERRY BOOKS,2
487,VIYANJAN GYAN { HINDI },,BLUE BERRY BOOKS,0
488,MORAL STORIES (1),.,BLUE BERRY BOOKS,2
489,MORAL STORIES (2),.,BLUE BERRY BOOKS,1
490,MORAL STORIES (3),.,BLUE BERRY BOOKS,2
491,MANTRA GYAN,"""Che"" Guevara",BLUE BERRY BOOKS,0
492,MATH OLYMPIAD 5,Mark,BLUE BERRY BOOKS,0
493,GRAMMER & VOCABULARY 2,Mark,BLUE BERRY BOOKS,0
494,GRAMMAR & VOCABULARY 3,Mark,BLUE BERRY BOOKS,0
495,GRAMMER & VOCABULARY 4,Mark,BLUE BERRY BOOKS,0
496,GRAMMER & VOCABULARY 5,Mark,BLUE BERRY BOOKS,0
497,GRAMMER & VOCABULARY 6,Mark,BLUE BERRY BOOKS,0
498,ENGLISH OLYMPIAD-5,NILL,BLUE BERRY BOOKS,0
499,MarkITIK KAHANIYAN 1,Mark,BLUE BERRY BOOKS,0
